Codigo | Nombre | Path | Padre | Fecha | Raiz
071.PD054 - Pumping out of the hole with mud bucket-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD054 - Pumping out of the hole with mud bucket-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD055 - Remove goose necks-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD055 - Remove goose necks-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD056 - Building Range II Drillpipe Stands in Aux. Position-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD056 - Building Range II Drillpipe Stands in Aux. Position-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD057 - Building Range III Drillpipe Stands in Aux. Position-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD057 - Building Range III Drillpipe Stands in Aux. Position-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD058 - Tripping with mud bucket R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD058 - Tripping with mud bucket R.01 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
071.PD041.L01-L02 IPC esp.xlsx | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Formatos\071.PD041.L01-L02 IPC esp.xlsx | Formatos | 29-05-2014 | Formatos
071.PD041.L01-L02.xlsx | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Formatos\071.PD041.L01-L02.xlsx | Formatos | 29-05-2014 | Formatos
071.PD001 - Operacion de Repaso R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD001 - Operacion de Repaso R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD002 - Desconexión de Barrena y Porta Barrena con llaves de Fuerza R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD002 - Desconexión de Barrena y Porta Barrena con llaves de Fuerza R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD003 - Armado de Ensamble de Fondo al centro del pozo R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD003 - Armado de Ensamble de Fondo al centro del pozo R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
